tax_code,description
2008 19 92,– – – – Tropical nuts; mixtures containing by weight 50 % or more of tropical nuts 8 —
2008 19 93,"– – – – – – Almonds and pistachios 10,2 —"
2008 19 95,– – – – – – Other 12 —
2008 19 99,"– – – – – Other 12,8 —"
2008 20,–Pineapples:  
2008 20 11,"– – – – With a sugar content exceeding 17 % by weight 25,6 + 2,5 €/100 kg/net(18) —"
2008 20 19,"– – – – Other 25,6(18) —"
2008 20 31,"– – – – With a sugar content exceeding 19 % by weight 25,6 + 2,5 €/100 kg/net(18) —"
2008 20 39,"– – – – Other 25,6(18) —"
2008 20 51,"– – – – With a sugar content exceeding 17 % by weight 19,2 —"
2008 20 59,"– – – – Other 17,6 —"
2008 20 71,"– – – – With a sugar content exceeding 19 % by weight 20,8(18) —"
2008 20 79,"– – – – Other 19,2 —"
2008 20 90,"– – – Not containing added sugar 18,4 —"
2008 30,–Citrus fruit:  
2008 30 11,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 30 19,"– – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 30 31,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 30 39,"– – – – Other 25,6(18) —"
2008 30 51,"– – – – Grapefruit segments, including pomelos 15,2 —"
2008 30 55,"– – – – Mandarins (including tangerines and satsumas); clementines, wilkings and other similar citrus hybrids 18,4 —"
2008 30 59,"– – – – Other 17,6 —"
2008 30 71,"– – – – Grapefruit segments, including pomelos 15,2 —"
2008 30 75,"– – – – Mandarins (including tangerines and satsumas); clementines, wilkings and other similar citrus hybrids 17,6 —"
2008 30 79,"– – – – Other 20,8(18) —"
2008 30 90,"– – – Not containing added sugar 18,4 —"
2008 40,–Pears:  
2008 40 11,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 40 19,"– – – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 40 21,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 40 29,"– – – – – Other 25,6(18) —"
2008 40 31,"– – – – With a sugar content exceeding 15 % by weight 25,6 + 4,2 €/100 kg/net(18) —"
2008 40 39,"– – – – Other 25,6(18) —"
2008 40 51,"– – – – With a sugar content exceeding 13 % by weight 17,6 —"
2008 40 59,– – – – Other 16 —
2008 40 71,"– – – – With a sugar content exceeding 15 % by weight 19,2 —"
2008 40 79,"– – – – Other 17,6 —"
2008 40 90,"– – – Not containing added sugar 16,8 —"
2008 50,–Apricots:  
2008 50 11,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 50 19,"– – – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 50 31,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 50 39,"– – – – – Other 25,6(18) —"
2008 50 51,"– – – – With a sugar content exceeding 15 % by weight 25,6 + 4,2 €/100 kg/net(18) —"
2008 50 59,"– – – – Other 25,6(18) —"
2008 50 61,"– – – – With a sugar content exceeding 13 % by weight 19,2 —"
2008 50 69,"– – – – Other 17,6 —"
2008 50 71,"– – – – With a sugar content exceeding 15 % by weight 20,8(18) —"
2008 50 79,"– – – – Other 19,2 —"
2008 50 92,"– – – – Of 5 kg or more 13,6 —"
2008 50 98,"– – – – Of less than 5 kg 18,4(35) —"
2008 60,–Cherries:  
2008 60 11,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 60 19,"– – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 60 31,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 60 39,"– – – – Other 25,6(18) —"
2008 60 50,"– – – – Exceeding 1 kg 17,6 —"
2008 60 60,"– – – – Not exceeding 1 kg 20,8(18) —"
2008 60 70,"– – – – Of 4,5 kg or more 18,4 —"
2008 60 90,"– – – – Of less than 4,5 kg 18,4 —"
2008 70,"–Peaches, including nectarines:  "
2008 70 11,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 70 19,"– – – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 70 31,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 70 39,"– – – – – Other 25,6(18) —"
2008 70 51,"– – – – With a sugar content exceeding 15 % by weight 25,6 + 4,2 €/100 kg/net(18) —"
2008 70 59,"– – – – Other 25,6(18) —"
2008 70 61,"– – – – With a sugar content exceeding 13 % by weight 19,2 —"
2008 70 69,"– – – – Other 17,6 —"
2008 70 71,"– – – – With a sugar content exceeding 15 % by weight 19,2 —"
2008 70 79,"– – – – Other 17,6 —"
2008 70 92,"– – – – Of 5 kg or more 15,2 —"
2008 70 98,"– – – – Of less than 5 kg 18,4 —"
2008 80,–Strawberries:  
2008 80 11,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6(18) —"
2008 80 19,"– – – – Other 25,6 + 4,2 €/100 kg/net(18) —"
2008 80 31,"– – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24(18) —"
2008 80 39,"– – – – Other 25,6(18) —"
2008 80 50,"– – – Containing added sugar, in immediate packings of a net content exceeding 1 kg 17,6 —"
2008 80 70,"– – – Containing added sugar, in immediate packings of a net content not exceeding 1 kg 20,8(18) —"
2008 80 90,"– – – Not containing added sugar 18,4 —"
2008 91 00,– –Palm hearts 10 —
2008 93,"– –Cranberries (Vaccinium macrocarpon,Vaccinium oxycoccos); lingonberries (Vaccinium vitis-idaea):  "
2008 93 11,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 25,6 —"
2008 93 19,"– – – – – Other 25,6 + 4,2 €/100 kg/net —"
2008 93 21,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 24 —"
2008 93 29,"– – – – – Other 25,6 —"
2008 93 91,"– – – – Containing added sugar, in immediate packings of a net content exceeding 1 kg 17,6 —"
2008 93 93,"– – – – Containing added sugar, in immediate packings of a net content not exceeding 1 kg 20,8 —"
2008 93 99,"– – – – Not containing added sugar 18,4 —"
2008 97,– –Mixtures:  
2008 97 03,– – – – In immediate packings of a net content exceeding 1 kg 7 —
2008 97 05,– – – – In immediate packings of a net content not exceeding 1 kg 8 —
2008 97 12,– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 16 —
2008 97 14,"– – – – – – – Other 25,6 —"
2008 97 16,"– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 16 + 2,6 €/100 kg/net —"
2008 97 18,"– – – – – – – Other 25,6 + 4,2 €/100 kg/net —"
2008 97 32,– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 15 —
2008 97 34,– – – – – – – Other 24 —
2008 97 36,– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 16 —
2008 97 38,"– – – – – – – Other 25,6 —"
2008 97 51,– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 11 —
2008 97 59,"– – – – – – – Other 17,6 —"
2008 97 72,"– – – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 8,5 —"
2008 97 74,"– – – – – – – – Other 13,6 —"
2008 97 76,– – – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 12 —
2008 97 78,"– – – – – – – – Other 19,2 —"
2008 97 92,"– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 11,5 —"
2008 97 93,"– – – – – – – Other 18,4 —"
2008 97 94,"– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 11,5 —"
2008 97 96,"– – – – – – – Other 18,4 —"
2008 97 97,"– – – – – – – Of tropical fruit (including mixtures containing by weight 50 % or more of tropical nuts and tropical fruit) 11,5 —"
2008 97 98,"– – – – – – – Other 18,4 —"
2008 99,– –Other:  
2008 99 11,"– – – – – Of an actual alcoholic strength by mass not exceeding 11,85 % mas 10 —"
2008 99 19,– – – – – Other 16 —
2008 99 21,"– – – – – With a sugar content exceeding 13 % by weight 25,6 + 3,8 €/100 kg/net —"
2008 99 23,"– – – – – Other 25,6 —"
2008 99 24,– – – – – – – Tropical fruit 16 —
2008 99 28,"– – – – – – – Other 25,6 —"
2008 99 31,"– – – – – – – Tropical fruit 16 + 2,6 €/100 kg/net —"
2008 99 34,"– – – – – – – Other 25,6 + 4,2 €/100 kg/net —"
2008 99 36,– – – – – – – Tropical fruit 15 —
2008 99 37,– – – – – – – Other 24 —
2008 99 38,– – – – – – – Tropical fruit 16 —
2008 99 40,"– – – – – – – Other 25,6 —"
2008 99 41,– – – – – Ginger Free —
2008 99 43,"– – – – – Grapes 19,2 —"
2008 99 45,"– – – – – Plums and prunes 17,6 —"
2008 99 48,– – – – – Tropical fruit 11 —
2008 99 49,"– – – – – Other 17,6 —"
2008 99 51,– – – – – Ginger Free —
2008 99 63,– – – – – Tropical fruit 13 —
2008 99 67,"– – – – – Other 20,8 —"
2008 99 72,"– – – – – – Of 5 kg or more 15,2 —"
2008 99 78,"– – – – – – Of less than 5 kg 18,4 —"
2008 99 85,"– – – – – Maize (corn), other than sweetcorn (Zea maysvar.saccharata) 5,1 + 9,4 €/100 kg/net(72) —"
2008 99 91,"– – – – – Yams, sweet potatoes and similar edible parts of plants, containing 5 % or more by weight of starch 8,3 + 3,8 €/100 kg/net(72) —"
2008 99 99,"– – – – – Other 18,4 —"
2009,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter:  "
2009 11,– –Frozen:  
2009 11 11,"– – – – Of a value not exceeding € 30 per 100 kg net weight 33,6 + 20,6 €/100 kg/net(18) —"
2009 11 19,"– – – – Other 33,6(18) —"
2009 11 91,"– – – – Of a value not exceeding € 30 per 100 kg net weight and with an added sugar content exceeding 30 % by weight 15,2 + 20,6 €/100 kg/net —"
2009 11 99,"– – – – Other 15,2(18) —"
2009 12 00,"– –Not frozen, of a Brix value not exceeding 20 12,2 —"
2009 19,– –Other:  
2009 19 11,"– – – – Of a value not exceeding € 30 per 100 kg net weight 33,6 + 20,6 €/100 kg/net(18) —"
2009 19 19,"– – – – Other 33,6(18) —"
2009 19 91,"– – – – Of a value not exceeding € 30 per 100 kg net weight and with an added sugar content exceeding 30 % by weight 15,2 + 20,6 €/100 kg/net —"
2009 19 98,"– – – – Other 12,2 —"
2009 21 00,– –Of a Brix value not exceeding 20 12 —
2009 29,– –Other:  
2009 29 11,"– – – – Of a value not exceeding € 30 per 100 kg net weight 33,6 + 20,6 €/100 kg/net(18) —"
2009 29 19,"– – – – Other 33,6(18) —"
2009 29 91,"– – – – Of a value not exceeding € 30 per 100 kg net weight and with an added sugar content exceeding 30 % by weight 12 + 20,6 €/100 kg/net —"
2009 29 99,– – – – Other 12 —
2009 31,– –Of a Brix value not exceeding 20:  
2009 31 11,"– – – – Containing added sugar 14,4 —"
2009 31 19,"– – – – Not containing added sugar 15,2 —"
2009 31 51,"– – – – – Containing added sugar 14,4 —"
2009 31 59,"– – – – – Not containing added sugar 15,2 —"
2009 31 91,"– – – – – Containing added sugar 14,4 —"
2009 31 99,"– – – – – Not containing added sugar 15,2 —"
2009 39,– –Other:  
2009 39 11,"– – – – Of a value not exceeding € 30 per 100 kg net weight 33,6 + 20,6 €/100 kg/net(18) —"
2009 39 19,"– – – – Other 33,6(18) —"
2009 39 31,"– – – – – Containing added sugar 14,4 —"
2009 39 39,"– – – – – Not containing added sugar 15,2 —"
2009 39 51,"– – – – – – With an added sugar content exceeding 30 % by weight 14,4 + 20,6 €/100 kg/net —"
2009 39 55,"– – – – – – With an added sugar content not exceeding 30 % by weight 14,4 —"
2009 39 59,"– – – – – – Not containing added sugar 15,2 —"
2009 39 91,"– – – – – – With an added sugar content exceeding 30 % by weight 14,4 + 20,6 €/100 kg/net —"
2009 39 95,"– – – – – – With an added sugar content not exceeding 30 % by weight 14,4 —"
2009 39 99,"– – – – – – Not containing added sugar 15,2 —"
2009 41,– –Of a Brix value not exceeding 20:  
2009 41 92,"– – – Containing added sugar 15,2 —"
2009 41 99,– – – Not containing added sugar 16 —
2009 49,– –Other:  
2009 49 11,"– – – – Of a value not exceeding € 30 per 100 kg net weight 33,6 + 20,6 €/100 kg/net(18) —"
2009 49 19,"– – – – Other 33,6(18) —"
2009 49 30,"– – – – Of a value exceeding € 30 per 100 kg net weight, containing added sugar 15,2 —"
